"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Ahrenshoop","Mecklenburg-Vorpommern","Ahrenshoop, Mecklenburg-Vorpommern","(MV)",5.88571428571429,0.928571428571429,3.31621428571429,5,2.9
"Nürnberg","Bayern","Nürnberg, Bayern","(BY)",4.78571428571429,3.25714285714286,2.71268214285714,2,9
"Wernigerode (Harz)","Sachsen-Anhalt","Wernigerode (Harz), Sachsen-Anhalt","(ST)",4.94285714285714,2.44285714285714,3.56627777777778,3,6.6
"Bremerhaven","Bremen","Bremerhaven","(HB)",5.4,0.885714285714286,3.22169761904762,3,5.5
"Görlitz","Sachsen","Görlitz, Sachsen","(SN)",5.11428571428571,-1.18571428571429,2.7366753968254,3,7.9
"Zinnowitz","Mecklenburg-Vorpommern","Zinnowitz, Mecklenburg-Vorpommern","(MV)",5.8,0.2,3.31702341269841,3,1.8
"Meersburg","Baden-Württemberg","Meersburg, Baden-Württemberg","(BW)",5.68571428571429,4.8,3.58870515873016,3,6
"Weimar","Thüringen","Weimar, Thüringen","(TH)",5.02857142857143,3.04285714285714,2.79324166666667,3,8.3
"Würzburg","Bayern","Würzburg, Bayern","(BY)",4.88571428571429,4.4,2.58318174603175,1,8.1
"Schwerin","Mecklenburg-Vorpommern","Schwerin, Mecklenburg-Vorpommern","(MV)",5.34285714285714,-0.657142857142857,2.5467246031746,5,6.5
"Westerland (Sylt)","Schleswig-Holstein","Westerland (Sylt), Schleswig-Holstein","(SH)",5.82857142857143,-1.8,4.03765952380952,5,1.3
"Carolinensiel","Niedersachsen","Carolinensiel, Niedersachsen","(NI)",5.22857142857143,1.77142857142857,2.97229484126984,2,6
"Graal-Müritz","Mecklenburg-Vorpommern","Graal-Müritz, Mecklenburg-Vorpommern","(MV)",5.8,0.0714285714285714,3.61525555555556,4,2.2
"Ahlbeck","Mecklenburg-Vorpommern","Ahlbeck, Mecklenburg-Vorpommern","(MV)",5.71428571428571,-0.671428571428571,3.4924746031746,4,2
"Schönau am Königssee","Bayern","Schönau am Königssee, Bayern","(BY)",4.2,4.77142857142857,3.14980793650794,2,18.1
"Bad Schandau","Sachsen","Bad Schandau, Sachsen","(SN)",4.65714285714286,0.514285714285714,2.34749365079365,2,12.5
"Bad Zwischenahn","Niedersachsen","Bad Zwischenahn, Niedersachsen","(NI)",5.22857142857143,1.78571428571429,3.38278849206349,2,5.2
"Regensburg","Bayern","Regensburg, Bayern","(BY)",4.7,1.24285714285714,3.08368928571429,3,6.6
"Titisee-Neustadt","Baden-Württemberg","Titisee-Neustadt, Baden-Württemberg","(BW)",4.41428571428571,3.01428571428571,4.06785317460317,1,22.5
"Bernkastel-Kues","Rheinland-Pfalz","Bernkastel-Kues, Rheinland-Pfalz","(RP)",4.58571428571429,-1.02857142857143,2.0761246031746,2,13.3
"Wilhelmshaven","Niedersachsen","Wilhelmshaven, Niedersachsen","(NI)",5.34285714285714,1.74285714285714,3.21563055555556,3,6.1
"Husum","Schleswig-Holstein","Husum, Schleswig-Holstein","(SH)",4.85714285714286,0.242857142857143,1.56445317460317,2,9.6
"Dortmund","Nordrhein-Westfalen","Dortmund, Nordrhein-Westfalen","(NW)",4.12857142857143,-2.94285714285714,3.00155595238095,4,4.5
"Neuharlingersiel","Niedersachsen","Neuharlingersiel, Niedersachsen","(NI)",5.28571428571429,1.6,3.1882003968254,2,5.9
"Kassel","Hessen","Kassel, Hessen","(HE)",5.2,3.02857142857143,3.31030992063492,2,6.1
"Friedrichshafen","Baden-Württemberg","Friedrichshafen, Baden-Württemberg","(BW)",5.71428571428571,4.91428571428571,3.71421984126984,3,7
"Mainz","Rheinland-Pfalz","Mainz, Rheinland-Pfalz","(RP)",5.17142857142857,4.54285714285714,2.07749047619048,1,4.4
"Helgoland","Schleswig-Holstein","Helgoland, Schleswig-Holstein","(SH)",5.37142857142857,4.25714285714286,2.06210595238095,2,8.7
"Mannheim","Baden-Württemberg","Mannheim, Baden-Württemberg","(BW)",5.18571428571429,5.67142857142857,2.45475595238095,2,5
"Überlingen","Baden-Württemberg","Überlingen, Baden-Württemberg","(BW)",5.57142857142857,4.48571428571429,3.62826904761905,3,4.4
"Bansin","Mecklenburg-Vorpommern","Bansin, Mecklenburg-Vorpommern","(MV)",5.71428571428571,-0.728571428571429,3.49224801587302,4,2
"Bensersiel","Niedersachsen","Bensersiel, Niedersachsen","(NI)",5.17142857142857,-4.2,2.82014682539683,6,3.3
