"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Eisenach","Thüringen","Eisenach, Thüringen","(TH)",6.8,1.3,6.76382222222222,0,0.3
"Wangerooge","Niedersachsen","Wangerooge, Niedersachsen","(NI)",2,5.3,6.01969166666667,0,1.3
"Winterberg","Nordrhein-Westfalen","Winterberg, Nordrhein-Westfalen","(NW)",3.6,-1.4,2.07443611111111,0,0
"Rothenburg ob der Tauber","Bayern","Rothenburg ob der Tauber, Bayern","(BY)",6.4,0.2,5.63998888888889,0,0.3
"Ulm","Baden-Württemberg","Ulm, Baden-Württemberg","(BW)",6.4,1,5.62673888888889,0,0.1
"Bielefeld","Nordrhein-Westfalen","Bielefeld, Nordrhein-Westfalen","(NW)",6.4,1.8,5.24871944444444,0,0.3
"Bad Neuenahr-Ahrweiler","Rheinland-Pfalz","Bad Neuenahr-Ahrweiler, Rheinland-Pfalz","(RP)",5.2,5.6,0.710844444444444,0,3.6
"Schliersee","Bayern","Schliersee, Bayern","(BY)",5.6,1.8,5.9698,0,3.1
"Essen","Nordrhein-Westfalen","Essen, Nordrhein-Westfalen","(NW)",5.2,5.2,0.660177777777778,0,2.4
"Monschau","Nordrhein-Westfalen","Monschau, Nordrhein-Westfalen","(NW)",3.4,2.1,0,0,4.8
"Fulda","Hessen","Fulda, Hessen","(HE)",5.6,1.2,1.87277777777778,0,0.2
"Ostseebad Sellin","Mecklenburg-Vorpommern","Ostseebad Sellin, Mecklenburg-Vorpommern","(MV)",6.6,2.8,5.14825277777778,0,0.6
"Osnabrück","Niedersachsen","Osnabrück, Niedersachsen","(NI)",6.6,2,5.76682777777778,1,0
"Braunschweig","Niedersachsen","Braunschweig, Niedersachsen","(NI)",5.4,2.1,0.0530777777777778,0,1.2
"Mittenwald","Bayern","Mittenwald, Bayern","(BY)",6,1.9,7.21455277777778,0,2.2
