"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berchtesgaden","Bayern","Berchtesgaden, Bayern","(BY)",7.41666666666667,13.1833333333333,10.8444171296296,3,7.5
"Heringsdorf (Usedom)","Mecklenburg-Vorpommern","Heringsdorf (Usedom), Mecklenburg-Vorpommern","(MV)",8.73333333333333,10.9333333333333,13.1348032407407,6,0
"Düsseldorf","Nordrhein-Westfalen","Düsseldorf, Nordrhein-Westfalen","(NW)",9.26666666666667,16.8,13.8896652777778,6,0
"Rostock","Mecklenburg-Vorpommern","Rostock, Mecklenburg-Vorpommern","(MV)",8.83333333333333,11.3666666666667,13.4535486111111,6,0
"Lüneburg","Niedersachsen","Lüneburg, Niedersachsen","(NI)",8.86666666666667,13.75,12.6513643518519,6,0
"Scharbeutz","Schleswig-Holstein","Scharbeutz, Schleswig-Holstein","(SH)",8.83333333333333,12.6333333333333,12.9298324074074,6,0
"Travemünde","Schleswig-Holstein","Travemünde, Schleswig-Holstein","(SH)",8.8,12.6833333333333,12.8117435185185,6,0
"Hannover","Niedersachsen","Hannover, Niedersachsen","(NI)",8.93333333333333,14.5666666666667,12.624675462963,5,0.1
"Oberstdorf","Bayern","Oberstdorf, Bayern","(BY)",8.3,12.8833333333333,11.5596634259259,4,3.3
"Stuttgart","Baden-Württemberg","Stuttgart, Baden-Württemberg","(BW)",8.8,16.0833333333333,11.4390990740741,5,0.9
"Münster","Nordrhein-Westfalen","Münster, Nordrhein-Westfalen","(NW)",9.2,16.1333333333333,13.7416074074074,6,0
"Potsdam","Brandenburg","Potsdam, Brandenburg","(BB)",8.9,13.45,13.5371805555556,6,0
"Wismar","Mecklenburg-Vorpommern","Wismar, Mecklenburg-Vorpommern","(MV)",8.76666666666667,11.9166666666667,13.1590564814815,6,0
"Norddeich","Niedersachsen","Norddeich, Niedersachsen","(NI)",8.63333333333333,10.1166666666667,11.9207458333333,6,0
"Stralsund","Mecklenburg-Vorpommern","Stralsund, Mecklenburg-Vorpommern","(MV)",8.8,11.1333333333333,13.5409694444444,6,0
"Koblenz","Rheinland-Pfalz","Koblenz, Rheinland-Pfalz","(RP)",9.36666666666667,17.4666666666667,13.5868324074074,6,0
"Lindau","Bayern","Lindau, Bayern","(BY)",9,16.9,11.9564490740741,6,0
