"Ort","Bundesland","Bezeichnung","Lat","Lon","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein",54.1298489,8.8586989,8.14285714285714,14.5142857142857,11.6317607142857,4,8.7
"Borkum","Niedersachsen","Borkum, Niedersachsen",53.5862669,6.6917449,8.28571428571429,12.1142857142857,12.7492003968254,4,3.3
"Konstanz","Baden-Württemberg","Konstanz, Baden-Württemberg",47.659216,9.1750718,8.48571428571429,18.3714285714286,10.4042623015873,6,23.9
"Boltenhagen","Mecklenburg-Vorpommern","Boltenhagen, Mecklenburg-Vorpommern",53.9864246,11.205923,8.42857142857143,15.0857142857143,12.1712234126984,4,11.7
"Garmisch-Partenkirchen","Bayern","Garmisch-Partenkirchen, Bayern",47.4923741,11.0962815,7.42857142857143,16.6285714285714,10.1017265873016,4,18.9
"Lübeck","Schleswig-Holstein","Lübeck, Schleswig-Holstein",53.866444,10.684738,8.54285714285714,16.9285714285714,12.4854345238095,4,15.3
"Waren (Müritz)","Mecklenburg-Vorpommern","Waren (Müritz), Mecklenburg-Vorpommern",53.5156249,12.6850606,8.97142857142857,17.3857142857143,12.947930952381,5,2.1
"Berchtesgaden","Bayern","Berchtesgaden, Bayern",47.6330221,13.0020051,8.25714285714286,16.3714285714286,11.8743900793651,5,21.1
"Heringsdorf (Usedom)","Mecklenburg-Vorpommern","Heringsdorf (Usedom), Mecklenburg-Vorpommern",53.9583117845254,14.1556338711397,8.97142857142857,15.9571428571429,13.5720992063492,6,1.6
"Düsseldorf","Nordrhein-Westfalen","Düsseldorf, Nordrhein-Westfalen",51.2254018,6.7763137,8.54285714285714,18.9142857142857,13.3847595238095,5,5.6
"Rostock","Mecklenburg-Vorpommern","Rostock, Mecklenburg-Vorpommern",54.0886707,12.1400211,8.62857142857143,16.4142857142857,12.4523436507937,4,5.1
"Lüneburg","Niedersachsen","Lüneburg, Niedersachsen",53.248706,10.407855,8.8,18.2142857142857,13.307705952381,4,6.5
"Scharbeutz","Schleswig-Holstein","Scharbeutz, Schleswig-Holstein",54.026634,10.7559481,8.45714285714286,16.2571428571429,12.3355527777778,4,15.5
"Travemünde","Schleswig-Holstein","Travemünde, Schleswig-Holstein",53.9563395480557,10.8660828563105,8.51428571428571,16.5,12.3240630952381,4,15.2
"Hannover","Niedersachsen","Hannover, Niedersachsen",52.3744779,9.7385532,8.91428571428571,18.5428571428571,13.4502464285714,5,4
"Oberstdorf","Bayern","Oberstdorf, Bayern",47.4104347,10.2774409,7.94285714285714,16.1142857142857,10.6117841269841,5,24.3
"Stuttgart","Baden-Württemberg","Stuttgart, Baden-Württemberg",48.7784485,9.1800132,8.71428571428572,18.9,10.9306162698413,5,2.3
"Münster","Nordrhein-Westfalen","Münster, Nordrhein-Westfalen",51.9625101,7.6251879,8.8,18.7857142857143,13.6760753968254,4,8.1
"Potsdam","Brandenburg","Potsdam, Brandenburg",52.4009309,13.0591397,9.17142857142857,18.6142857142857,12.947694047619,6,1
"Wismar","Mecklenburg-Vorpommern","Wismar, Mecklenburg-Vorpommern",53.8909832,11.4647932,8.45714285714286,16.3,12.1127515873016,4,10.3
"Norddeich","Niedersachsen","Norddeich, Niedersachsen",53.6209520645092,7.16051439568982,8.2,14.8428571428571,12.4824535714286,3,9.1
"Stralsund","Mecklenburg-Vorpommern","Stralsund, Mecklenburg-Vorpommern",54.3096314,13.0820846,8.68571428571429,15.9,12.2428698412698,5,2.5
"Koblenz","Rheinland-Pfalz","Koblenz, Rheinland-Pfalz",50.3533278,7.5943951,8.62857142857143,19.2714285714286,13.763646031746,4,6.4
"Lindau","Bayern","Lindau, Bayern",47.550753,9.6926624,8.37142857142857,18.7571428571429,10.5656444444444,5,27.4
"Heidelberg","Baden-Württemberg","Heidelberg, Baden-Württemberg",49.4093582,8.694724,9,20.0571428571429,11.6337325396825,5,1
"Zingst","Mecklenburg-Vorpommern","Zingst, Mecklenburg-Vorpommern",54.4387302,12.6821366,8.62857142857143,14.8,12.6259722222222,5,4
"Erfurt","Thüringen","Erfurt, Thüringen",50.9777974,11.0287364,9.05714285714286,17.6714285714286,12.311519047619,7,0
"Juist","Niedersachsen","Juist, Niedersachsen",53.6784483,6.9956079,8.37142857142857,14.7857142857143,12.4851662698413,3,9.1
"Greetsiel","Niedersachsen","Greetsiel, Niedersachsen",53.4999753,7.0906967,8.28571428571429,15.0285714285714,12.571526984127,4,4.4
"Heiligenhafen","Schleswig-Holstein","Heiligenhafen, Schleswig-Holstein",54.3717445,10.9809235,8.31428571428571,14.6428571428571,11.866680952381,4,8.6
"Füssen","Bayern","Füssen, Bayern",47.5675998,10.6993217,7.71428571428571,15.8857142857143,10.6482984126984,5,19.5
"Bremen","Bremen","Bremen",53.0758196,8.8071646,8.68571428571429,18.4714285714286,13.294103968254,4,7.8
"Kiel","Schleswig-Holstein","Kiel, Schleswig-Holstein",54.3227085,10.135555,8.4,16.3571428571429,11.632901984127,4,12
"Bamberg","Bayern","Bamberg, Bayern",49.8916044,10.8868478,8.88571428571429,18.6142857142857,11.5463293650794,5,0.5
"Freiburg im Breisgau","Baden-Württemberg","Freiburg im Breisgau, Baden-Württemberg",47.9960901,7.8494005,8.62857142857143,19.9142857142857,10.7264857142857,6,9.5
"Cochem (Mosel)","Rheinland-Pfalz","Cochem (Mosel), Rheinland-Pfalz",50.1483916,7.1663195,8.68571428571429,19.5,13.7398964285714,4,8.7
"Trier","Rheinland-Pfalz","Trier, Rheinland-Pfalz",49.7596208,6.6441878,8.08571428571429,18.6428571428571,12.6945277777778,4,19.3
"Ahrenshoop","Mecklenburg-Vorpommern","Ahrenshoop, Mecklenburg-Vorpommern",54.3789509,12.419192,8.54285714285714,14.2714285714286,12.6308436507937,5,3.2
"Nürnberg","Bayern","Nürnberg, Bayern",49.453872,11.077298,8.74285714285714,18.5857142857143,10.8028587301587,6,3.8
